Name,Volatility,Average Trading Price,Average Trading Volume,MarketCap(Cr),P/E ratio,Sector
NDG,0.236860261934545,507.0298256053842,7898593.916666667,,,FS
NSL,0.30017550499186874,108.11010679233496,2477657.9318181816,,,E
NYO,0.26582063643664516,285.9385583108244,12465856.41221374,,,CG
OED,1.0754109027867673,480.3928438270974,3955923.6488549616,,,E
OGU,0.23035664814539666,259.5131541481623,2598964.4393939395,,,CCP
OMP,0.41669240432696586,73.57272798076252,3789551.371212121,,,FS
PFK,0.45339418230598355,162.04003021348444,10537164.106060605,,,FS
PLX,0.24198422086818674,370.7789327922037,3823328.1363636362,,,S
PMS,1.0307659091134382,373.967069204202,2230081.9242424243,,,A
PQS,0.49551141713720986,77.33390668158052,17876864.770992365,,,C
PUO,0.29933473626936935,158.05077065188382,3376132.4166666665,,,FS
QRK,0.2730408363255259,176.1199241638876,3737553.871212121,,,IM
SCN,1.5711035437808962,60.196078702320285,2448258.8055555555,,,IM
SVG,0.39769614367052347,659.1613527034592,4458007.068181818,,,FS
TGI,0.2833552960833472,1025.378531577729,707195.3560606061,,,FS
TWK,0.386061160014944,82.43503491342081,2518087.477272727,,,IM
UBF,0.26178834541390117,257.1950626361283,2290193.893939394,,,A
UWC,0.3054573706845791,516.9760377336636,2149556.287878788,,,E
UWD,0.3170726405637298,376.0720022973141,2289597.757575758,,,FS
VKE,0.2191601276980004,934.5186591863026,7786454.4,,,E
VML,0.2841973815854611,247.4029887100449,3804277.6136363638,,,A
VND,0.3115222733204413,680.0442301745428,2975146.696969697,,,P
VSL,0.27091780215749206,226.10195237799314,2493877.3435114506,,,C
VTN,0.8442829219813157,391.60740135537947,1725728.5606060605,,,CG
WAG,0.32956211145208764,181.74232491335889,8146612.053030303,,,FS
WTJ,0.4830101534940765,142.39449527020363,3408537.1666666665,,,FS
XAD,0.40457819261227834,193.28127901936114,5136914.167938931,,,CCP
XCS,0.649652513983443,194.80173100509168,19509515.89312977,,,C
XFD,0.7544873779537984,324.1773081096567,3427148.75,,,E
XIT,0.5286804382168463,341.9016286663448,2979493.371212121,,,FS
XPV,0.3230533163018208,111.07034853684186,10890697.625954198,,,FS
XYR,0.2520603179090706,58.91567557054022,8634309.213740459,,,FS
XZR,0.2869836351329851,220.24820332756894,5142725.267175573,,,M
YGC,0.25308808109885156,395.9642985939033,3380481.709923664,,,E
YHW,0.5299396841409542,139.87604487651458,5395739.75,,,IM
YUZ,0.1869655547464852,263.675734237821,4251006.5227272725,,,M
ZEW,0.3262021897815511,467.2694691756053,3813977.037878788,,,FS
ZLX,0.32186819974815084,83.77944860123618,4314893.704545454,,,ME
CHV,0.26932214758851264,433.52148565372335,6551408.484848484,,,A
